Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10
04.08.18,Yze,06:41:07,acms,Lif,Amg,Yamu,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:41:10,acms,Lif,Amg,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:12,ach,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:14,gr,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:41:15,acms,Lif,Amg,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:41:17,acms,Lif,Amg,Yamu,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:17,ach,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:19,ach,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:25,ach,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:41:26,acms,Amg,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:27,ach,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:41:28,acms,Amg,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yze,06:41:33,scms,Amg,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:45,ach,Yalu,Yuko,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:52,acmt,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:41:56,ach,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:42:12,ach,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:42:21,g,Lif,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:42:22,ach,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Aara,06:42:26,ach,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yamu,06:42:53,scms,Nah,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:44:11,acms,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Amg,06:44:15,acms,Yuko,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:44:50,acmt,,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Nah,06:44:57,acmt,Amg,,,,,,,,,
,,,,,,,,,,,,,
04.08.18,Yuko,06:45:16,gr,Aare,,,,,,,,,
,,,,,,,,,,,,,
