Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10,ID_Attending11
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:51,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,06:59:52,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:57,gopr,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,06:59:58,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gran,07:00:01,eop,Gene,Guat,Pro,Cus,Bela ,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,07:00:04,eop,Gran,Gene,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:05,gopr,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:06,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:17,gopr,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:19,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:23,gopr,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:24,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:49,gopr,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Gene,07:00:50,eop,Gran,Guat,Pro,Cus,Bela,Pru,,,,,
,,,,,,,,,,,,,,
16.06.18,Guat,07:00:55,gop,Gran,Gene,Pro,Cus,Bela,Pru,Ula,,,,
,,,,,,,,,,,,,,
16.06.18,Cus,07:01:35,gop,Guat,,,,,,,,,,
,,,,,,,,,,,,,,
16.06.18,Ula,07:01:44,gop,Guat,Cus,,,,,,,,,
,,,,,,,,,,,,,,
